,Entity,Code_x,Year,Tipo,Valor
0,Algeria,DZA,1965,Oil Consumption - EJ,15.405264268646002
1,Algeria,DZA,1966,Oil Consumption - EJ,20.272721495941997
2,Algeria,DZA,1967,Oil Consumption - EJ,18.942046264736003
3,Algeria,DZA,1968,Oil Consumption - EJ,20.16731752273
4,Algeria,DZA,1969,Oil Consumption - EJ,21.305947044744002
5,Algeria,DZA,1970,Oil Consumption - EJ,24.347700311478
6,Algeria,DZA,1971,Oil Consumption - EJ,27.440072229818
7,Algeria,DZA,1972,Oil Consumption - EJ,30.121438263797998
8,Algeria,DZA,1973,Oil Consumption - EJ,32.900371320276
9,Algeria,DZA,1974,Oil Consumption - EJ,36.543870068406
10,Algeria,DZA,1975,Oil Consumption - EJ,40.630700004534006
11,Algeria,DZA,1976,Oil Consumption - EJ,46.717769874186004
12,Algeria,DZA,1977,Oil Consumption - EJ,52.806535856306
13,Algeria,DZA,1978,Oil Consumption - EJ,54.607988408577995
14,Algeria,DZA,1979,Oil Consumption - EJ,65.318669477116
15,Algeria,DZA,1980,Oil Consumption - EJ,66.202482961944
16,Algeria,DZA,1981,Oil Consumption - EJ,71.323129836236
17,Algeria,DZA,1982,Oil Consumption - EJ,75.573478236512
18,Algeria,DZA,1983,Oil Consumption - EJ,84.89248902504802
19,Algeria,DZA,1984,Oil Consumption - EJ,94.002081590494
20,Algeria,DZA,1985,Oil Consumption - EJ,96.55388029859802
21,Algeria,DZA,1986,Oil Consumption - EJ,98.02133258366999
22,Algeria,DZA,1987,Oil Consumption - EJ,99.10060316930802
23,Algeria,DZA,1988,Oil Consumption - EJ,99.17267794919
24,Algeria,DZA,1989,Oil Consumption - EJ,103.93674426044001
25,Algeria,DZA,1990,Oil Consumption - EJ,111.811705282626
26,Algeria,DZA,1991,Oil Consumption - EJ,110.62787461334
27,Algeria,DZA,1992,Oil Consumption - EJ,111.29274458968
28,Algeria,DZA,1993,Oil Consumption - EJ,110.75496527056801
29,Algeria,DZA,1994,Oil Consumption - EJ,106.05098067405001
30,Algeria,DZA,1995,Oil Consumption - EJ,103.14236529160401
31,Algeria,DZA,1996,Oil Consumption - EJ,98.42215845988602
32,Algeria,DZA,1997,Oil Consumption - EJ,97.64349755918
33,Algeria,DZA,1998,Oil Consumption - EJ,100.658828582554
34,Algeria,DZA,1999,Oil Consumption - EJ,98.89842495201002
35,Algeria,DZA,2000,Oil Consumption - EJ,103.132562228206
36,Algeria,DZA,2001,Oil Consumption - EJ,106.77541930915602
37,Algeria,DZA,2002,Oil Consumption - EJ,118.397324440006
38,Algeria,DZA,2003,Oil Consumption - EJ,123.17421659485001
39,Algeria,DZA,2004,Oil Consumption - EJ,128.74693327524201
40,Algeria,DZA,2005,Oil Consumption - EJ,134.21349227070792
41,Algeria,DZA,2006,Oil Consumption - EJ,139.84583262657662
42,Algeria,DZA,2007,Oil Consumption - EJ,156.39012158706663
43,Algeria,DZA,2008,Oil Consumption - EJ,169.9160323279949
44,Algeria,DZA,2009,Oil Consumption - EJ,180.13457355198798
45,Algeria,DZA,2010,Oil Consumption - EJ,180.048999039084
46,Algeria,DZA,2011,Oil Consumption - EJ,192.227806837678
47,Algeria,DZA,2012,Oil Consumption - EJ,204.39543129399203
48,Algeria,DZA,2013,Oil Consumption - EJ,213.576555861108
49,Algeria,DZA,2014,Oil Consumption - EJ,221.92533031790003
50,Algeria,DZA,2015,Oil Consumption - EJ,236.14867219656443
