Entity,Code,Year,Fossil fuels per capita (kWh)
Africa,,1965,2058.244
Africa,,1966,2103.541
Africa,,1967,2063.597
Africa,,1968,2107.265
Africa,,1969,2082.553
Africa,,1970,2186.515
Africa,,1971,2344.494
Africa,,1972,2407.308
Africa,,1973,2544
Africa,,1974,2576.997
Africa,,1975,2655.438
Africa,,1976,2825.959
Africa,,1977,2878.72
Africa,,1978,2915.916
Africa,,1979,3115.872
Africa,,1980,3281.682
Africa,,1981,3572.764
Africa,,1982,3726.833
Africa,,1983,3754.57
Africa,,1984,3760.117
Africa,,1985,3774.414
Africa,,1986,3736.265
Africa,,1987,3775.851
Africa,,1988,3915.549
Africa,,1989,3806.997
Africa,,1990,3843.619
Africa,,1991,3721.571
Africa,,1992,3702.732
Africa,,1993,3635.522
Africa,,1994,3643.234
Africa,,1995,3691.833
Africa,,1996,3692.345
Africa,,1997,3667.613
Africa,,1998,3624.197
Africa,,1999,3641.543
Africa,,2000,3626.14
Africa,,2001,3679.4
Africa,,2002,3618.564
Africa,,2003,3719.929
Africa,,2004,3895.61
Africa,,2005,3832.016
Africa,,2006,3803.705
Africa,,2007,3842.808
Africa,,2008,3995.911
Africa,,2009,3964.018
Africa,,2010,3976.928
Africa,,2011,3884.954
Africa,,2012,3927.714
Africa,,2013,3918.435
Africa,,2014,3924.095
Africa,,2015,3882.192
Africa,,2016,3886.396
Africa,,2017,3860.353
Africa,,2018,3883.183
Africa,,2019,3855.495
Algeria,DZA,1965,1884.302
Algeria,DZA,1966,2230.707
Algeria,DZA,1967,2036.54
Algeria,DZA,1968,2098.963
Algeria,DZA,1969,2309.184
Algeria,DZA,1970,2422.667
Algeria,DZA,1971,2606.043
Algeria,DZA,1972,2825.08
Algeria,DZA,1973,3248.063
Algeria,DZA,1974,3556.837
Algeria,DZA,1975,4178.7
Algeria,DZA,1976,4737.909
Algeria,DZA,1977,5085.437
Algeria,DZA,1978,6221.54
Algeria,DZA,1979,7919.34
Algeria,DZA,1980,9176.108
Algeria,DZA,1981,10800.247
Algeria,DZA,1982,12061.601
Algeria,DZA,1983,12807.885
Algeria,DZA,1984,11893.946
Algeria,DZA,1985,11607.818
Algeria,DZA,1986,11979.548
Algeria,DZA,1987,11932.901
Algeria,DZA,1988,12473.139
Algeria,DZA,1989,11805.952
Algeria,DZA,1990,12212.228
Algeria,DZA,1991,11788.975
Algeria,DZA,1992,11826.206
Algeria,DZA,1993,10745.094
Algeria,DZA,1994,10683.72
Algeria,DZA,1995,10869.128
Algeria,DZA,1996,10576.293
Algeria,DZA,1997,10007.001
Algeria,DZA,1998,10191.55
Algeria,DZA,1999,10150.35
Algeria,DZA,2000,9657.439
Algeria,DZA,2001,9875.7
Algeria,DZA,2002,10101.535
Algeria,DZA,2003,10418.852
Algeria,DZA,2004,10677.07
Algeria,DZA,2005,11000.958
Algeria,DZA,2006,11254.16
Algeria,DZA,2007,11677.965
Algeria,DZA,2008,12172.469
Algeria,DZA,2009,12676.306
Algeria,DZA,2010,12144.613
Algeria,DZA,2011,12640.023
Algeria,DZA,2012,13549.443
Algeria,DZA,2013,14069.992
Algeria,DZA,2014,15027.377
Algeria,DZA,2015,15528.614
Algeria,DZA,2016,15190.104
Algeria,DZA,2017,15029.705
Algeria,DZA,2018,15872.332
Algeria,DZA,2019,16331.441
Argentina,ARG,1965,13981.435
Argentina,ARG,1966,14234.644
Argentina,ARG,1967,14443.328
Argentina,ARG,1968,14702.45
Argentina,ARG,1969,15005.922
Argentina,ARG,1970,13920.153
Argentina,ARG,1971,14569.485
Argentina,ARG,1972,14599.978
Argentina,ARG,1973,14827.686
Argentina,ARG,1974,14906.708
Argentina,ARG,1975,14110.28
Argentina,ARG,1976,14712.311
Argentina,ARG,1977,15195.941
Argentina,ARG,1978,14955.796
Argentina,ARG,1979,15414.115
Argentina,ARG,1980,14751.855
Argentina,ARG,1981,13937.709
Argentina,ARG,1982,13895.561
Argentina,ARG,1983,14140.189
Argentina,ARG,1984,13638.365
Argentina,ARG,1985,12867.383
Argentina,ARG,1986,14200.223
Argentina,ARG,1987,14576.795
Argentina,ARG,1988,15233.872
Argentina,ARG,1989,14565.503
Argentina,ARG,1990,13581.956
Argentina,ARG,1991,13670.764
Argentina,ARG,1992,14419.427
Argentina,ARG,1993,14398.31
Argentina,ARG,1994,14130.618
Argentina,ARG,1995,14694.886
Argentina,ARG,1996,15898.959
Argentina,ARG,1997,15015.521
Argentina,ARG,1998,15590.478
Argentina,ARG,1999,15470.218
Argentina,ARG,2000,15525.942
Argentina,ARG,2001,14530.042
Argentina,ARG,2002,13636.111
Argentina,ARG,2003,14782.312
Argentina,ARG,2004,15854.173
Argentina,ARG,2005,16741.805
Argentina,ARG,2006,17215.31
Argentina,ARG,2007,18401.417
Argentina,ARG,2008,18621.733
Argentina,ARG,2009,17755.558
Argentina,ARG,2010,18599.382
Argentina,ARG,2011,18871.5
Argentina,ARG,2012,19399.898
Argentina,ARG,2013,19893.03
Argentina,ARG,2014,19572.09
Argentina,ARG,2015,19724.453
Argentina,ARG,2016,19620.823
Argentina,ARG,2017,19241.662
Argentina,ARG,2018,18824.28
Argentina,ARG,2019,18101.027
Australia,AUS,1965,33870.33
Australia,AUS,1966,36528.602
Australia,AUS,1967,37788.019
Australia,AUS,1968,39070.431
Australia,AUS,1969,39608.02
Australia,AUS,1970,42147.602
Australia,AUS,1971,43270.248
Australia,AUS,1972,44626.899
Australia,AUS,1973,47047.973
Australia,AUS,1974,49206.757
Australia,AUS,1975,49249.742
Australia,AUS,1976,50637.983
Australia,AUS,1977,52831.217
Australia,AUS,1978,53400.317
Australia,AUS,1979,55070.079
Australia,AUS,1980,54950.336
Australia,AUS,1981,54640.81
Australia,AUS,1982,54051.595
Australia,AUS,1983,53534.369
Australia,AUS,1984,54962.514
Australia,AUS,1985,54402.773
Australia,AUS,1986,55415.203
Australia,AUS,1987,56099.683
Australia,AUS,1988,57694.243
Australia,AUS,1989,59651.152
Australia,AUS,1990,59787.093
Australia,AUS,1991,58462.523
Australia,AUS,1992,58319.914
Australia,AUS,1993,59300.626
Australia,AUS,1994,61125.545
Australia,AUS,1995,62198.899
Australia,AUS,1996,63073.273
Australia,AUS,1997,64028.877
Australia,AUS,1998,64884.64
Australia,AUS,1999,67024.603
Australia,AUS,2000,66599.621
Australia,AUS,2001,66577.396
Australia,AUS,2002,66802.982
Australia,AUS,2003,66993.599
Australia,AUS,2004,68332.317
Australia,AUS,2005,66883.04
Australia,AUS,2006,69810.908
Australia,AUS,2007,69414.543
Australia,AUS,2008,69152.966
Australia,AUS,2009,66926.746
Australia,AUS,2010,65456.527
Australia,AUS,2011,65785.054
Australia,AUS,2012,64049.86
Australia,AUS,2013,63069.761
Australia,AUS,2014,63471.012
Australia,AUS,2015,63343.515
Australia,AUS,2016,62495.921
Australia,AUS,2017,61766.639
Australia,AUS,2018,61306.165
Australia,AUS,2019,64591.979
Austria,AUT,1965,19430.682
Austria,AUT,1966,20005.115
Austria,AUT,1967,20012.277
Austria,AUT,1968,21568.394
Austria,AUT,1969,23063.469
Austria,AUT,1970,25438.527
Austria,AUT,1971,26933.437
Austria,AUT,1972,27794.049
Austria,AUT,1973,29539.754
Austria,AUT,1974,28298.269
Austria,AUT,1975,27585.965
Austria,AUT,1976,30111.455
Austria,AUT,1977,28533.106
Austria,AUT,1978,30209.798
Austria,AUT,1979,31390.841
Austria,AUT,1980,30853.658
Austria,AUT,1981,28968.463
Austria,AUT,1982,27619.282
Austria,AUT,1983,27619.735
Austria,AUT,1984,28667.664
Austria,AUT,1985,29125.766
Austria,AUT,1986,28976.032
Austria,AUT,1987,29648.612
Austria,AUT,1988,28906.785
Austria,AUT,1989,29102.414
Austria,AUT,1990,30912.206
Austria,AUT,1991,32817.716
Austria,AUT,1992,30541.177
Austria,AUT,1993,30371.794
Austria,AUT,1994,30319.604
Austria,AUT,1995,31530.141
Austria,AUT,1996,32636.008
Austria,AUT,1997,32788.917
Austria,AUT,1998,33052.309
Austria,AUT,1999,32876.816
Austria,AUT,2000,32574.893
Austria,AUT,2001,34703.073
Austria,AUT,2002,34863.805
Austria,AUT,2003,37624.981
Austria,AUT,2004,36867.397
Austria,AUT,2005,37183.145
Austria,AUT,2006,36331.115
Austria,AUT,2007,34262.437
Austria,AUT,2008,34617.396
